,trend_name,woeid_codes,timestamp
0,Daleks,44418,21/10/2022 10:19:19
1,Uxbridge,44418,21/10/2022 10:19:19
2,#tenable,44418,21/10/2022 10:19:19
3,Chip,44418,21/10/2022 10:19:19
4,#halfterm,44418,21/10/2022 10:19:19
5,#NewMusicFriday,44418,21/10/2022 10:19:19
6,#ToryLeadershipContest,44418,21/10/2022 10:19:19
7,Diwali,44418,21/10/2022 10:19:19
8,Penny Mordaunt,44418,21/10/2022 10:19:19
9,Poch,44418,21/10/2022 10:19:19
10,Lana,44418,21/10/2022 10:19:19
11,#BackBoris,44418,21/10/2022 10:19:19
12,Tuchel,44418,21/10/2022 10:19:19
13,Johnson,44418,21/10/2022 10:19:19
14,Bust,44418,21/10/2022 10:19:19
15,Best WL,44418,21/10/2022 10:19:19
16,Arctic Monkeys,44418,21/10/2022 10:19:19
17,Taylor Swift,44418,21/10/2022 10:19:19
18,Ben Wallace,44418,21/10/2022 10:19:19
19,Aberfan,44418,21/10/2022 10:19:19
20,The Car,44418,21/10/2022 10:19:19
21,Punk,44418,21/10/2022 10:19:19
22,Unite,44418,21/10/2022 10:19:19
23,Alex Turner,44418,21/10/2022 10:19:19
24,Lavender Haze,44418,21/10/2022 10:19:19
25,Privileges Committee,44418,21/10/2022 10:19:19
26,West Indies,44418,21/10/2022 10:19:19
27,#CollegesWeek,44418,21/10/2022 10:19:19
28,#LoveOurColleges,44418,21/10/2022 10:19:19
29,#MeetMeAtMidnight,44418,21/10/2022 10:19:19
30,#GeneralElectionN0W,44418,21/10/2022 10:19:19
31,#WRD22,44418,21/10/2022 10:19:19
32,#WearItPink,44418,21/10/2022 10:19:19
33,#FridayFeeling,44418,21/10/2022 10:19:19
34,#ShowRacismTheRedCard,44418,21/10/2022 10:19:19
35,#BVPL,44418,21/10/2022 10:19:19
36,#BlackAdam,44418,21/10/2022 10:19:19
37,#BreastCancerAwareness,44418,21/10/2022 10:19:19
38,#BorisTheLiar,44418,21/10/2022 10:19:19
39,#Cheltenham,44418,21/10/2022 10:19:19
40,#TrafalgarDay,44418,21/10/2022 10:19:19
41,#NeverRishi,44418,21/10/2022 10:19:19
42,#FridayVibes,44418,21/10/2022 10:19:19
43,#BringBorisBack,44418,21/10/2022 10:19:19
44,#GothamKnights,44418,21/10/2022 10:19:19
45,#ThisMorning,44418,21/10/2022 10:19:19
46,#MidnightsPartyBKK,1225448,21/10/2022 10:19:19
47,#KiehlsThailand,1225448,21/10/2022 10:19:19
48,#Tawan_V,1225448,21/10/2022 10:19:19
49,#OffJumpol,1225448,21/10/2022 10:19:19
50,#ThailandGameShow2022,1225448,21/10/2022 10:19:19
51,B.IRTHDAY TODAY,1225448,21/10/2022 10:19:19
52,Nanon TJIMF,1225448,21/10/2022 10:19:19
